Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
969	11.5958	3.84243	0.866941	0.896255	0.940256	100	0.458513	0.458513
970	15.5715	4.45267	0.744055	0.94591	0.988842	100	0.456354	0.456354
971	21.9492	5.28646	0.642005	0.781942	0.876227	35.9955	0.454323	0.454323
972	7.53729	3.09787	0.659023	0.900403	0.977163	100	0.448508	0.448508
973	7.70294	3.13172	0.823883	0.935157	0.960071	100	0.445659	0.445659
974	3.31309	2.05386	0.854025	0.954648	0.99374	100	0.445515	0.445515
975	5.05247	2.53634	0.488115	0.820898	0.972876	45.2615	0.438687	0.438687
976	5.05247	2.53634	0.761867	0.896015	1	100	0.436157	0.436157
977	11.9271	3.89693	0.690328	0.730749	0.831251	27.7326	0.435945	0.435945
978	42.3248	7.34095	0.804643	0.847091	0.91882	54.5729	0.43382	0.43382
979	3.39592	2.07938	0.69609	0.836285	0.99983	50.2679	0.427661	0.427661
980	4.22419	2.31914	0.7916	0.894112	0.979571	100	0.42559	0.42559
981	8.53122	3.2958	0.621896	0.878112	0.949047	76.2091	0.422492	0.422492
982	10.6019	3.67407	0.863043	0.942417	0.960811	100	0.418747	0.418747
983	3.72723	2.17845	0.706337	0.884042	0.993064	86.886	0.412559	0.412559
984	8.19991	3.23117	0.488684	0.869668	0.947074	67.7277	0.41169	0.41169
985	3.47875	2.10459	0.854024	0.901455	0.99374	100	0.410987	0.410987
986	8.53122	3.2958	0.530601	0.872939	0.959417	70.5732	0.409586	0.409586
987	9.02818	3.39043	0.630081	0.912537	0.979247	100	0.408418	0.408418
988	4.88681	2.49441	0.77871	0.975955	0.985291	100	0.390804	0.390804
989	6.9575	2.97633	0.440936	0.838942	0.96891	51.2541	0.355436	0.355436
990	11.9271	3.89693	0.635705	0.905661	0.948087	100	0.352278	0.352278
991	4.5555	2.40837	0.672695	0.896832	0.97419	100	0.317416	0.317416
992	3.39592	2.07938	0.846484	0.890648	0.970951	100	0.28931	0.28931
993	9.85645	3.54255	0.317991	0.732386	0.954574	27.9533	0.284872	0.284872
994	16.6483	4.60405	0.55389	0.585964	0.711921	14.2714	0.266675	0.266675
995	5.21812	2.57758	0.822099	0.886814	0.967074	100	0.22616	0.22616
996	7.37163	3.06363	0.728342	0.929731	0.96163	100	0.22325	0.22325
997	4.47268	2.38638	0.720798	0.876271	0.962177	73.9928	0.198077	0.198077
998	4.14137	2.29629	0.640648	0.898435	0.994748	100	0.17814	0.17814
999	3.23027	2.02803	0.787886	0.926299	0.991134	100	0.161271	0.161271
1000	3.31309	2.05386	0.818503	0.900416	0.99374	100	0.11844	0.11844
1001	4.72116	2.45177	0.965075	0.96522	0.984223	100	0	0
1002	5.96357	2.75555	0.803548	0.992263	0.986646	100	0	0
1003	8.53122	3.2958	0.76569	0.909503	0.987292	100	0	0
1004	6.29488	2.83106	0.783425	0.920948	0.947298	100	0	0
1005	13.915	4.20917	0.492307	0.838486	0.973191	51.0817	0	0
1006	42.3248	7.34095	0.718884	0.817586	0.906167	44.3121	0	0
1007	5.88074	2.73635	0.517481	0.870478	0.969712	68.3951	0	0
1008	4.38985	2.36418	0.824694	0.925015	0.986331	100	0	0
1009	20.7897	5.14492	0.922771	0.920062	0.948458	100	0	0
1010	22.8603	5.39506	0.790006	0.715099	0.810065	25.7321	0	0
1011	19.3816	4.96764	0.469888	0.782651	0.915868	36.1347	0	0
1012	48.951	7.8947	0.423275	0.723669	0.918787	26.8036	0	0
1013	11.8443	3.88338	0.946256	0.818374	0.924133	44.5345	0	0
1014	3.47875	2.10459	0.853818	0.901444	0.99374	100	0	0
1015	29.1552	6.09275	0.7688	0.929824	0.939607	100	0	0
1016	6.21205	2.81237	0.787801	0.899176	0.991674	100	0	0
1017	5.71509	2.69753	0.862915	0.895033	0.994275	100	0	0
1018	4.80399	2.47318	0.92704	0.908146	0.97419	100	0	0
1019	82.496	10.2488	0.575563	0.837581	0.901588	50.7435	0	0
1020	29.9835	6.17869	0.491761	0.804158	0.947062	40.8175	0	0
1021	10.9332	3.73103	0.753613	0.889269	0.9287	100	0	0
1022	5.30095	2.59796	0.655015	0.935515	0.97882	100	0	0
1023	3.31309	2.05386	0.823171	0.997102	0.991134	100	0	0
1024	7.70294	3.13172	0.733423	0.97279	0.975574	100	0	0
1025	4.80399	2.47318	0.728044	0.920967	1	100	0	0
1026	14.6604	4.32045	0.519112	0.850452	0.933319	56.0969	0	0
1027	9.60797	3.49761	0.725037	0.937426	0.970867	100	0	0
1028	6.12922	2.79356	0.575059	0.847763	0.956061	54.8695	0	0
1029	4.72116	2.45177	0.727141	0.895106	0.981293	100	0	0
1030	10.6019	3.67407	0.609326	0.77684	0.941475	35.0188	0	0
1031	32.4683	6.42961	0.858452	0.895735	0.94051	100	0	0
